,Guessed_Champion,Actual_Champion,Comparison
0,Aatrox,Aatrox,GGGGGGG
0,Aatrox,Ahri,RRRRROR
0,Aatrox,Akali,RORRGRR
0,Aatrox,Akshan,GORRROR
0,Aatrox,Alistar,GRRRGOR
0,Aatrox,Amumu,GRRRGOR
0,Aatrox,Anivia,RRRRRRR
0,Aatrox,Annie,RRRRROR
0,Aatrox,Aphelios,GRRRRRR
0,Aatrox,Ashe,RRRRRRR
0,Aatrox,Aurelion Sol,GRRRROR
0,Aatrox,Azir,GRRRROR
0,Aatrox,Bard,GRRRROR
0,Aatrox,Bel'Veth,RRRGGRR
0,Aatrox,Blitzcrank,RRRRGRR
0,Aatrox,Brand,GRRRROR
0,Aatrox,Braum,GRRRGRR
0,Aatrox,Briar,RRRRGRR
0,Aatrox,Caitlyn,RRRRRRR
0,Aatrox,Camille,RGRRGRR
0,Aatrox,Cassiopeia,RRRRROR
0,Aatrox,Cho'Gath,GGRRGRR
0,Aatrox,Corki,GRRRRRR
0,Aatrox,Darius,GGRRGRR
0,Aatrox,Diana,RRRRGRR
0,Aatrox,Dr. Mundo,GGRRGRR
0,Aatrox,Draven,GRRRRRR
0,Aatrox,Ekko,GRRRGRR
0,Aatrox,Elise,RRRRORR
0,Aatrox,Evelynn,RRRRGOR
0,Aatrox,Ezreal,GRRRRRR
0,Aatrox,Fiddlesticks,RRRRROR
0,Aatrox,Fiora,RGRRGRR
0,Aatrox,Fizz,GRRRGRR
0,Aatrox,Galio,GRRRGRR
0,Aatrox,Gangplank,GGRRGRR
0,Aatrox,Garen,GGRGGRR
0,Aatrox,Gnar,GGRRORR
0,Aatrox,Gragas,GORRGRR
0,Aatrox,Graves,GRRRRRR
0,Aatrox,Gwen,RGRRGRR
0,Aatrox,Hecarim,GRRRGRR
0,Aatrox,Heimerdinger,GRRRRRR
0,Aatrox,Illaoi,RGRRGRR
0,Aatrox,Irelia,RORRGRR
0,Aatrox,Ivern,GRRRRRR
0,Aatrox,Janna,RRRRROR
0,Aatrox,Jarvan IV,GRRRGRR
0,Aatrox,Jax,GORRGOR
0,Aatrox,Jayce,GORRORR
0,Aatrox,Jhin,GRRRRRR
0,Aatrox,Jinx,RRRRRRG
0,Aatrox,K'Sante,GGRRGOR
0,Aatrox,Kai'Sa,RRRRROR
0,Aatrox,Kalista,RRRRRRR
0,Aatrox,Karma,RRRRRRR
0,Aatrox,Karthus,GRRRRRR
0,Aatrox,Kassadin,GRRRGOR
0,Aatrox,Katarina,RRRGGRR
0,Aatrox,Kayle,RGRRORR
0,Aatrox,Kayn,GRORGOR
0,Aatrox,Kennen,GGRRRRR
0,Aatrox,Kha'Zix,GRRRGRR
0,Aatrox,Kindred,RRRRROR
0,Aatrox,Kled,GGRRGRR
0,Aatrox,Kog'Maw,GRRRRRR
0,Aatrox,LeBlanc,RRRRRRR
0,Aatrox,Lee Sin,GRRRGRR
0,Aatrox,Leona,RRRRGRR
0,Aatrox,Lillia,RRRRGRR
