,Guessed_Champion,Actual_Champion,Comparison
0,Aatrox,Aatrox,GGGGGGG
1,Aatrox,Ahri,RRRRROR
2,Aatrox,Akali,RORRGRR
3,Aatrox,Akshan,GORRROR
4,Aatrox,Alistar,GRRRGOR
5,Aatrox,Amumu,GRRRGOR
6,Aatrox,Anivia,RRRRRRR
7,Aatrox,Annie,RRRRROR
8,Aatrox,Aphelios,GRRRRRR
9,Aatrox,Ashe,RRRRRRR
10,Aatrox,Aurelion Sol,GRRRROR
11,Aatrox,Azir,GRRRROR
12,Aatrox,Bard,GRRRROR
13,Aatrox,Bel'Veth,RRRGGRR
14,Aatrox,Blitzcrank,RRRRGRR
15,Aatrox,Brand,GRRRROR
16,Aatrox,Braum,GRRRGRR
17,Aatrox,Caitlyn,RRRRRRR
18,Aatrox,Camille,RGRRGRR
19,Aatrox,Cassiopeia,RRRRROR
20,Aatrox,Cho'Gath,GGRRGRR
21,Aatrox,Corki,GRRRRRR
22,Aatrox,Darius,GGRRGRR
23,Aatrox,Diana,RRRRGRR
24,Aatrox,Dr. Mundo,GGRRGRR
25,Aatrox,Draven,GRRRRRR
26,Aatrox,Ekko,GRRRGRR
27,Aatrox,Elise,RRRRORR
28,Aatrox,Evelynn,RRRRGOR
29,Aatrox,Ezreal,GRRRRRR
30,Aatrox,Fiddlesticks,RRRRROR
31,Aatrox,Fiora,RGRRGRR
32,Aatrox,Fizz,GRRRGRR
33,Aatrox,Galio,GRRRGRR
34,Aatrox,Gangplank,GGRRGRR
35,Aatrox,Garen,GGRGGRR
36,Aatrox,Gnar,GGRRORR
37,Aatrox,Gragas,GORRGRR
38,Aatrox,Graves,GRRRRRR
39,Aatrox,Gwen,RGRRGRR
40,Aatrox,Hecarim,GRRRGRR
41,Aatrox,Heimerdinger,GRRRRRR
42,Aatrox,Illaoi,RGRRGRR
43,Aatrox,Irelia,RORRGRR
44,Aatrox,Ivern,GRRRRRR
45,Aatrox,Janna,RRRRROR
46,Aatrox,Jarvan IV,GRRRGRR
47,Aatrox,Jax,GORRGOR
48,Aatrox,Jayce,GORRORR
49,Aatrox,Jhin,GRRRRRR
50,Aatrox,Jinx,RRRRRRG
51,Aatrox,K'Sante,GGRRGOR
52,Aatrox,Kai'Sa,RRRRROR
53,Aatrox,Kalista,RRRRRRR
54,Aatrox,Karma,RRRRRRR
55,Aatrox,Karthus,GRRRRRR
56,Aatrox,Kassadin,GRRRGOR
57,Aatrox,Katarina,RRRGGRR
58,Aatrox,Kayle,RGRRORR
59,Aatrox,Kayn,GRORGOR
60,Aatrox,Kennen,GGRRRRR
61,Aatrox,Kha'Zix,GRRRGRR
62,Aatrox,Kindred,RRRRROR
63,Aatrox,Kled,GGRRGRR
64,Aatrox,Kog'Maw,GRRRRRR
65,Aatrox,LeBlanc,RRRRRRR
66,Aatrox,Lee Sin,GRRRGRR
67,Aatrox,Leona,RRRRGRR
68,Aatrox,Lillia,RRRRGRR
69,Aatrox,Lissandra,RRRRRRG
70,Aatrox,Lucian,GRRRRRG
71,Aatrox,Lulu,RRRRRRR
72,Aatrox,Lux,RRRRRRR
73,Aatrox,Malphite,GGRRGOR
74,Aatrox,Malzahar,GRRRROR
75,Aatrox,Maokai,GRRRGRR
76,Aatrox,Master Yi,GRRRGRR
77,Aatrox,Millio,GRRRRRR
78,Aatrox,Miss Fortune,RRRRRRR
79,Aatrox,Mordekaiser,GGRRGRR
80,Aatrox,Morgana,RRRRRRR
81,Aatrox,Naafiri,RRORGOR
82,Aatrox,Nami,RRRRROR
83,Aatrox,Nasus,GGRRGOR
84,Aatrox,Nautilus,GRRRGRR
85,Aatrox,Neeko,RRRRRRR
86,Aatrox,Nidalee,RRRRRRR
87,Aatrox,Nilah,RRRRGRR
88,Aatrox,Nocturne,GRRRGOR
89,Aatrox,Nunu & Willump,GRRRGRR
90,Aatrox,Olaf,GORRGRR
91,Aatrox,Orianna,RRRRRRR
92,Aatrox,Ornn,GGRRGRR
93,Aatrox,Pantheon,GORRGRR
94,Aatrox,Poppy,RORRGRR
95,Aatrox,Pyke,GRRRGRR
96,Aatrox,Qiyana,RRRRGRR
97,Aatrox,Quinn,RGRRRRG
98,Aatrox,Rakan,GRRRGRR
99,Aatrox,Rammus,GRRRGOR
100,Aatrox,Rek'Sai,RRRRGOR
101,Aatrox,Rell,RRRRGRR
102,Aatrox,Renata Glasc,RRRRRRR
103,Aatrox,Renekton,GGRRGOR
104,Aatrox,Rengar,GORRGOR
105,Aatrox,Riven,RGRGGRR
106,Aatrox,Rumble,GORRGRR
107,Aatrox,Ryze,GORRROR
108,Aatrox,Samira,RRRRROR
109,Aatrox,Searphine,RRRRRRR
110,Aatrox,Sejuani,RRRRGRR
111,Aatrox,Senna,RRRRRRR
112,Aatrox,Sett,GGRRGRR
113,Aatrox,Shaco,GRRRGOR
